section,metric,month,value,month_date
Time between Booking Date and Appointment Date,1 Day,Aug-24,0.0771654002336302,2024-08-01
Time between Booking Date and Appointment Date,1 Day,Aug-24,2123161.0,2024-08-01
Time between Booking Date and Appointment Date,1 Day,Sep-24,0.0719499635368679,2024-09-01
Time between Booking Date and Appointment Date,1 Day,Sep-24,2149138.0,2024-09-01
Time between Booking Date and Appointment Date,1 Day,Oct-24,0.0717029609003126,2024-10-01
Time between Booking Date and Appointment Date,1 Day,Oct-24,2761536.0,2024-10-01
Time between Booking Date and Appointment Date,1 Day,Nov-24,0.0747132594585721,2024-11-01
Time between Booking Date and Appointment Date,1 Day,Nov-24,2350614.0,2024-11-01
Time between Booking Date and Appointment Date,1 Day,Dec-24,0.0713367840898982,2024-12-01
Time between Booking Date and Appointment Date,1 Day,Dec-24,2016769.0,2024-12-01
Time between Booking Date and Appointment Date,1 Day,Jan-25,0.0772565652069113,2025-01-01
Time between Booking Date and Appointment Date,1 Day,Jan-25,2548389.0,2025-01-01
Time between Booking Date and Appointment Date,1 Day,Feb-25,0.074869750533391,2025-02-01
Time between Booking Date and Appointment Date,1 Day,Feb-25,2218338.0,2025-02-01
Time between Booking Date and Appointment Date,1 Day,Mar-25,0.0714444842417961,2025-03-01
Time between Booking Date and Appointment Date,1 Day,Mar-25,2239421.0,2025-03-01
Time between Booking Date and Appointment Date,1 Day,Apr-25,0.0766349164746658,2025-04-01
Time between Booking Date and Appointment Date,1 Day,Apr-25,2240896.0,2025-04-01
Time between Booking Date and Appointment Date,1 Day,May-25,0.0749439188228824,2025-05-01
Time between Booking Date and Appointment Date,1 Day,May-25,2182923.0,2025-05-01
Time between Booking Date and Appointment Date,1 Day,Jun-25,0.0704756180933083,2025-06-01
Time between Booking Date and Appointment Date,1 Day,Jun-25,2149675.0,2025-06-01
Time between Booking Date and Appointment Date,1 Day,Jul-25,0.0774321017809226,2025-07-01
Time between Booking Date and Appointment Date,1 Day,Jul-25,2518357.0,2025-07-01
Time between Booking Date and Appointment Date,1 Day,Aug-25,0.0745376845505453,2025-08-01
Time between Booking Date and Appointment Date,1 Day,Aug-25,2026481.0,2025-08-01
Time between Booking Date and Appointment Date,1 Day,Sep-25,0.0734922367241491,2025-09-01
Time between Booking Date and Appointment Date,1 Day,Sep-25,2359052.0,2025-09-01
Time between Booking Date and Appointment Date,1 Day,Oct-25,0.0708147244401218,2025-10-01
Time between Booking Date and Appointment Date,1 Day,Oct-25,2786252.0,2025-10-01
Time between Booking Date and Appointment Date,1 Day,Nov-25,0.0747891769432802,2025-11-01
Time between Booking Date and Appointment Date,1 Day,Nov-25,2329217.0,2025-11-01
Time between Booking Date and Appointment Date,1 Day,Dec-25,0.0759233170224639,2025-12-01
Time between Booking Date and Appointment Date,1 Day,Dec-25,2343381.0,2025-12-01
Time between Booking Date and Appointment Date,15  to 21 Days,Feb-21,0.0364500763385224,2021-02-01
Time between Booking Date and Appointment Date,15  to 21 Days,Feb-21,816466.0,2021-02-01
Time between Booking Date and Appointment Date,15  to 21 Days,Mar-21,0.0429758963533497,2021-03-01
Time between Booking Date and Appointment Date,15  to 21 Days,Mar-21,1170037.0,2021-03-01
Time between Booking Date and Appointment Date,15  to 21 Days,Apr-21,0.0543788818159114,2021-04-01
Time between Booking Date and Appointment Date,15  to 21 Days,Apr-21,1298564.0,2021-04-01
Time between Booking Date and Appointment Date,15  to 21 Days,May-21,0.0554290499202519,2021-05-01
Time between Booking Date and Appointment Date,15  to 21 Days,May-21,1303048.0,2021-05-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jun-21,0.0608615189368113,2021-06-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jun-21,1630126.0,2021-06-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jul-21,0.0601739703135515,2021-07-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jul-21,1548831.0,2021-07-01
Time between Booking Date and Appointment Date,15  to 21 Days,Aug-21,0.0609256490740403,2021-08-01
Time between Booking Date and Appointment Date,15  to 21 Days,Aug-21,1453209.0,2021-08-01
Time between Booking Date and Appointment Date,15  to 21 Days,Sep-21,0.0655364338491916,2021-09-01
Time between Booking Date and Appointment Date,15  to 21 Days,Sep-21,1869263.0,2021-09-01
Time between Booking Date and Appointment Date,15  to 21 Days,Oct-21,0.0661913274736127,2021-10-01
Time between Booking Date and Appointment Date,15  to 21 Days,Oct-21,2005851.0,2021-10-01
Time between Booking Date and Appointment Date,15  to 21 Days,Nov-21,0.0741385893865727,2021-11-01
Time between Booking Date and Appointment Date,15  to 21 Days,Nov-21,2254189.0,2021-11-01
Time between Booking Date and Appointment Date,15  to 21 Days,Dec-21,0.0680169538124042,2021-12-01
Time between Booking Date and Appointment Date,15  to 21 Days,Dec-21,1709999.0,2021-12-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jan-22,0.0511937871716357,2022-01-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jan-22,1312377.0,2022-01-01
Time between Booking Date and Appointment Date,15  to 21 Days,Feb-22,0.0601215684635062,2022-02-01
Time between Booking Date and Appointment Date,15  to 21 Days,Feb-22,1524398.0,2022-02-01
Time between Booking Date and Appointment Date,15  to 21 Days,Mar-22,0.06447305399237,2022-03-01
Time between Booking Date and Appointment Date,15  to 21 Days,Mar-22,1908081.0,2022-03-01
Time between Booking Date and Appointment Date,15  to 21 Days,Apr-22,0.0719359373993742,2022-04-01
Time between Booking Date and Appointment Date,15  to 21 Days,Apr-22,1720194.0,2022-04-01
Time between Booking Date and Appointment Date,15  to 21 Days,May-22,0.0648115250522167,2022-05-01
Time between Booking Date and Appointment Date,15  to 21 Days,May-22,1782026.0,2022-05-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jun-22,0.0741336322769948,2022-06-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jun-22,1914711.0,2022-06-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jul-22,0.0707200036426281,2022-07-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jul-22,1832734.0,2022-07-01
Time between Booking Date and Appointment Date,15  to 21 Days,Aug-22,0.0692947141140306,2022-08-01
Time between Booking Date and Appointment Date,15  to 21 Days,Aug-22,1835542.0,2022-08-01
Time between Booking Date and Appointment Date,15  to 21 Days,Sep-22,0.0784671750429327,2022-09-01
Time between Booking Date and Appointment Date,15  to 21 Days,Sep-22,2217753.0,2022-09-01
Time between Booking Date and Appointment Date,15  to 21 Days,Oct-22,0.0840852343240163,2022-10-01
Time between Booking Date and Appointment Date,15  to 21 Days,Oct-22,2690737.0,2022-10-01
Time between Booking Date and Appointment Date,15  to 21 Days,Nov-22,0.0795489723387966,2022-11-01
Time between Booking Date and Appointment Date,15  to 21 Days,Nov-22,2485409.0,2022-11-01
Time between Booking Date and Appointment Date,15  to 21 Days,Dec-22,0.068321977914612,2022-12-01
Time between Booking Date and Appointment Date,15  to 21 Days,Dec-22,1828621.0,2022-12-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jan-23,0.0628462862684645,2023-01-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jan-23,1851083.0,2023-01-01
Time between Booking Date and Appointment Date,15  to 21 Days,Feb-23,0.0743185618103582,2023-02-01
Time between Booking Date and Appointment Date,15  to 21 Days,Feb-23,2026556.0,2023-02-01
Time between Booking Date and Appointment Date,15  to 21 Days,Mar-23,0.0748407027771554,2023-03-01
Time between Booking Date and Appointment Date,15  to 21 Days,Mar-23,2360072.0,2023-03-01
Time between Booking Date and Appointment Date,15  to 21 Days,Apr-23,0.0753422984787765,2023-04-01
Time between Booking Date and Appointment Date,15  to 21 Days,Apr-23,1820153.0,2023-04-01
Time between Booking Date and Appointment Date,15  to 21 Days,May-23,0.0776867698888863,2023-05-01
Time between Booking Date and Appointment Date,15  to 21 Days,May-23,2150798.0,2023-05-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jun-23,0.0758526065541311,2023-06-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jun-23,2229610.0,2023-06-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jul-23,0.0730039522559413,2023-07-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jul-23,2026689.0,2023-07-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jul-23,0.0730413282571958,2023-07-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jul-23,2027547.0,2023-07-01
Time between Booking Date and Appointment Date,15  to 21 Days,Aug-23,0.0737997900043459,2023-08-01
Time between Booking Date and Appointment Date,15  to 21 Days,Aug-23,2080916.0,2023-08-01
Time between Booking Date and Appointment Date,15  to 21 Days,Sep-23,0.0809987473923299,2023-09-01
Time between Booking Date and Appointment Date,15  to 21 Days,Sep-23,2519184.0,2023-09-01
Time between Booking Date and Appointment Date,15  to 21 Days,Oct-23,0.0819750789159475,2023-10-01
Time between Booking Date and Appointment Date,15  to 21 Days,Oct-23,2803781.0,2023-10-01
Time between Booking Date and Appointment Date,15  to 21 Days,Nov-23,0.0756602704810011,2023-11-01
Time between Booking Date and Appointment Date,15  to 21 Days,Nov-23,2379933.0,2023-11-01
Time between Booking Date and Appointment Date,15  to 21 Days,Dec-23,0.0713379090594799,2023-12-01
Time between Booking Date and Appointment Date,15  to 21 Days,Dec-23,1838537.0,2023-12-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jan-24,0.0661440083665479,2024-01-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jan-24,2143792.0,2024-01-01
Time between Booking Date and Appointment Date,15  to 21 Days,Feb-24,0.0762091640023671,2024-02-01
Time between Booking Date and Appointment Date,15  to 21 Days,Feb-24,2325944.0,2024-02-01
Time between Booking Date and Appointment Date,15  to 21 Days,Mar-24,0.0741385202315445,2024-03-01
Time between Booking Date and Appointment Date,15  to 21 Days,Mar-24,2188136.0,2024-03-01
Time between Booking Date and Appointment Date,15  to 21 Days,Apr-24,0.0755235964809609,2024-04-01
Time between Booking Date and Appointment Date,15  to 21 Days,Apr-24,2273220.0,2024-04-01
Time between Booking Date and Appointment Date,15  to 21 Days,May-24,0.0776288566969733,2024-05-01
Time between Booking Date and Appointment Date,15  to 21 Days,May-24,2334745.0,2024-05-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jun-24,0.0766460392968707,2024-06-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jun-24,2156098.0,2024-06-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jul-24,0.0745343709319389,2024-07-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jul-24,2325328.0,2024-07-01
Time between Booking Date and Appointment Date,15  to 21 Days,Aug-24,0.0718377569112222,2024-08-01
Time between Booking Date and Appointment Date,15  to 21 Days,Aug-24,1976574.0,2024-08-01
Time between Booking Date and Appointment Date,15  to 21 Days,Sep-24,0.0756559354724256,2024-09-01
Time between Booking Date and Appointment Date,15  to 21 Days,Sep-24,2259835.0,2024-09-01
Time between Booking Date and Appointment Date,15  to 21 Days,Oct-24,0.0844486549099751,2024-10-01
Time between Booking Date and Appointment Date,15  to 21 Days,Oct-24,3252418.0,2024-10-01
Time between Booking Date and Appointment Date,15  to 21 Days,Nov-24,0.0792468200727835,2024-11-01
Time between Booking Date and Appointment Date,15  to 21 Days,Nov-24,2493248.0,2024-11-01
Time between Booking Date and Appointment Date,15  to 21 Days,Dec-24,0.0737207738150928,2024-12-01
Time between Booking Date and Appointment Date,15  to 21 Days,Dec-24,2084167.0,2024-12-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jan-25,0.0663012677692155,2025-01-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jan-25,2187017.0,2025-01-01
Time between Booking Date and Appointment Date,15  to 21 Days,Feb-25,0.0776220265240187,2025-02-01
Time between Booking Date and Appointment Date,15  to 21 Days,Feb-25,2299886.0,2025-02-01
Time between Booking Date and Appointment Date,15  to 21 Days,Mar-25,0.076225515523078,2025-03-01
Time between Booking Date and Appointment Date,15  to 21 Days,Mar-25,2389282.0,2025-03-01
Time between Booking Date and Appointment Date,15  to 21 Days,Apr-25,0.0804254259437065,2025-04-01
Time between Booking Date and Appointment Date,15  to 21 Days,Apr-25,2351735.0,2025-04-01
Time between Booking Date and Appointment Date,15  to 21 Days,May-25,0.0737591932275499,2025-05-01
Time between Booking Date and Appointment Date,15  to 21 Days,May-25,2148415.0,2025-05-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jun-25,0.0772544632809629,2025-06-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jun-25,2356446.0,2025-06-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jul-25,0.0751535285815395,2025-07-01
Time between Booking Date and Appointment Date,15  to 21 Days,Jul-25,2444250.0,2025-07-01
Time between Booking Date and Appointment Date,15  to 21 Days,Aug-25,0.0757606069149477,2025-08-01
Time between Booking Date and Appointment Date,15  to 21 Days,Aug-25,2059729.0,2025-08-01
Time between Booking Date and Appointment Date,15  to 21 Days,Sep-25,0.0740846165789847,2025-09-01
Time between Booking Date and Appointment Date,15  to 21 Days,Sep-25,2378067.0,2025-09-01
Time between Booking Date and Appointment Date,15  to 21 Days,Oct-25,0.0807864979463173,2025-10-01
Time between Booking Date and Appointment Date,15  to 21 Days,Oct-25,3178598.0,2025-10-01
Time between Booking Date and Appointment Date,15  to 21 Days,Nov-25,0.0783085966050804,2025-11-01
Time between Booking Date and Appointment Date,15  to 21 Days,Nov-25,2438825.0,2025-11-01
Time between Booking Date and Appointment Date,15  to 21 Days,Dec-25,0.0732038704034132,2025-12-01
Time between Booking Date and Appointment Date,15  to 21 Days,Dec-25,2259445.0,2025-12-01
Time between Booking Date and Appointment Date,2 to 7 Days,Feb-21,0.243636339609927,2021-02-01
Time between Booking Date and Appointment Date,2 to 7 Days,Feb-21,5457349.0,2021-02-01
Time between Booking Date and Appointment Date,2 to 7 Days,Mar-21,0.241416846253708,2021-03-01
Time between Booking Date and Appointment Date,2 to 7 Days,Mar-21,6572676.0,2021-03-01
Time between Booking Date and Appointment Date,2 to 7 Days,Apr-21,0.216406101993925,2021-04-01
Time between Booking Date and Appointment Date,2 to 7 Days,Apr-21,5167763.0,2021-04-01
Time between Booking Date and Appointment Date,2 to 7 Days,May-21,0.222439388141981,2021-05-01
Time between Booking Date and Appointment Date,2 to 7 Days,May-21,5229193.0,2021-05-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jun-21,0.209355805601978,2021-06-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jun-21,5607424.0,2021-06-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jul-21,0.211548843032106,2021-07-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jul-21,5445102.0,2021-07-01
Time between Booking Date and Appointment Date,2 to 7 Days,Aug-21,0.206478479464196,2021-08-01
Time between Booking Date and Appointment Date,2 to 7 Days,Aug-21,4924960.0,2021-08-01
Time between Booking Date and Appointment Date,2 to 7 Days,Sep-21,0.20878512722289,2021-09-01
Time between Booking Date and Appointment Date,2 to 7 Days,Sep-21,5955074.0,2021-09-01
Time between Booking Date and Appointment Date,2 to 7 Days,Oct-21,0.224767664711996,2021-10-01
Time between Booking Date and Appointment Date,2 to 7 Days,Oct-21,6811322.0,2021-10-01
Time between Booking Date and Appointment Date,2 to 7 Days,Nov-21,0.208362158021672,2021-11-01
Time between Booking Date and Appointment Date,2 to 7 Days,Nov-21,6335266.0,2021-11-01
Time between Booking Date and Appointment Date,2 to 7 Days,Dec-21,0.188559374619145,2021-12-01
Time between Booking Date and Appointment Date,2 to 7 Days,Dec-21,4740529.0,2021-12-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jan-22,0.219298149119458,2022-01-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jan-22,5621812.0,2022-01-01
Time between Booking Date and Appointment Date,2 to 7 Days,Feb-22,0.215588008168719,2022-02-01
Time between Booking Date and Appointment Date,2 to 7 Days,Feb-22,5466290.0,2022-02-01
Time between Booking Date and Appointment Date,2 to 7 Days,Mar-22,0.205426961263578,2022-03-01
Time between Booking Date and Appointment Date,2 to 7 Days,Mar-22,6079614.0,2022-03-01
Time between Booking Date and Appointment Date,2 to 7 Days,Apr-22,0.189320098056025,2022-04-01
Time between Booking Date and Appointment Date,2 to 7 Days,Apr-22,4527185.0,2022-04-01
Time between Booking Date and Appointment Date,2 to 7 Days,May-22,0.202410422559523,2022-05-01
Time between Booking Date and Appointment Date,2 to 7 Days,May-22,5565378.0,2022-05-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jun-22,0.182234343169028,2022-06-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jun-22,4706718.0,2022-06-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jul-22,0.196264878486133,2022-07-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jul-22,5086274.0,2022-07-01
Time between Booking Date and Appointment Date,2 to 7 Days,Aug-22,0.19341333609776,2022-08-01
Time between Booking Date and Appointment Date,2 to 7 Days,Aug-22,5123310.0,2022-08-01
Time between Booking Date and Appointment Date,2 to 7 Days,Sep-22,0.187001876522572,2022-09-01
Time between Booking Date and Appointment Date,2 to 7 Days,Sep-22,5285318.0,2022-09-01
Time between Booking Date and Appointment Date,2 to 7 Days,Oct-22,0.199516764206426,2022-10-01
Time between Booking Date and Appointment Date,2 to 7 Days,Oct-22,6384559.0,2022-10-01
Time between Booking Date and Appointment Date,2 to 7 Days,Nov-22,0.192893172908766,2022-11-01
Time between Booking Date and Appointment Date,2 to 7 Days,Nov-22,6026708.0,2022-11-01
Time between Booking Date and Appointment Date,2 to 7 Days,Dec-22,0.167975944483706,2022-12-01
Time between Booking Date and Appointment Date,2 to 7 Days,Dec-22,4495835.0,2022-12-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jan-23,0.203330262457207,2023-01-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jan-23,5988917.0,2023-01-01
Time between Booking Date and Appointment Date,2 to 7 Days,Feb-23,0.193709269859469,2023-02-01
Time between Booking Date and Appointment Date,2 to 7 Days,Feb-23,5282162.0,2023-02-01
Time between Booking Date and Appointment Date,2 to 7 Days,Mar-23,0.189285421523434,2023-03-01
Time between Booking Date and Appointment Date,2 to 7 Days,Mar-23,5969041.0,2023-03-01
Time between Booking Date and Appointment Date,2 to 7 Days,Apr-23,0.176627778406957,2023-04-01
Time between Booking Date and Appointment Date,2 to 7 Days,Apr-23,4267053.0,2023-04-01
Time between Booking Date and Appointment Date,2 to 7 Days,May-23,0.180550896078787,2023-05-01
Time between Booking Date and Appointment Date,2 to 7 Days,May-23,4998644.0,2023-05-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jun-23,0.186314170452589,2023-06-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jun-23,5476515.0,2023-06-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jul-23,0.193114566433345,2023-07-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jul-23,5361123.0,2023-07-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jul-23,0.19316283450847,2023-07-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jul-23,5361988.0,2023-07-01
Time between Booking Date and Appointment Date,2 to 7 Days,Aug-23,0.179842488364094,2023-08-01
Time between Booking Date and Appointment Date,2 to 7 Days,Aug-23,5070978.0,2023-08-01
Time between Booking Date and Appointment Date,2 to 7 Days,Sep-23,0.182998270373813,2023-09-01
Time between Booking Date and Appointment Date,2 to 7 Days,Sep-23,5691524.0,2023-09-01
Time between Booking Date and Appointment Date,2 to 7 Days,Oct-23,0.184006237375685,2023-10-01
Time between Booking Date and Appointment Date,2 to 7 Days,Oct-23,6293537.0,2023-10-01
Time between Booking Date and Appointment Date,2 to 7 Days,Nov-23,0.187546680998863,2023-11-01
Time between Booking Date and Appointment Date,2 to 7 Days,Nov-23,5899378.0,2023-11-01
Time between Booking Date and Appointment Date,2 to 7 Days,Dec-23,0.172860866133819,2023-12-01
Time between Booking Date and Appointment Date,2 to 7 Days,Dec-23,4455010.0,2023-12-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jan-24,0.19266777448061,2024-01-01
Time between Booking Date and Appointment Date,2 to 7 Days,Jan-24,6244551.0,2024-01-01
Time between Booking Date and Appointment Date,2 to 7 Days,Feb-24,0.184840865635062,2024-02-01
Time between Booking Date and Appointment Date,2 to 7 Days,Feb-24,5641441.0,2024-02-01
Time between Booking Date and Appointment Date,2 to 7 Days,Mar-24,0.183057636270701,2024-03-01
Time between Booking Date and Appointment Date,2 to 7 Days,Mar-24,5402792.0,2024-03-01
Time between Booking Date and Appointment Date,2 to 7 Days,Apr-24,0.171481109615662,2024-04-01
